Fecha	Hora1	NoVuelo	Matricula	Dia(int)	CodigoAeropuerto	Hora2	Fecha y hora
2018-01-01	14:18:26	CM0436	HP1373	01	MPTO	15:03:00	2018-01-01 15:03:00
2018-01-01	14:22:52	CM0364	HP1838	01	MPTO	15:07:00	2018-01-01 15:07:00
2018-01-01	14:26:29	CM0435	HP1533	01	MPTO	15:11:00	2018-01-01 15:11:00
2018-01-01	14:28:43	CM0321	HP1723	01	MPTO	15:13:00	2018-01-01 15:13:00
2018-01-01	14:30:21	CM0354	HP1539	01	MPTO	15:15:00	2018-01-01 15:15:00
2018-01-01	14:31:21	CM0290	HP1537	01	MPTO	15:10:00	2018-01-01 15:10:00
2018-01-01	14:34:17	CM0686	HP1564	01	MPTO	15:09:00	2018-01-01 15:09:00
2018-01-01	14:35:41	CM0811	HP1839	01	MPTO	15:20:00	2018-01-01 15:20:00
2018-01-01	14:36:56	CM0675	HP1530	01	MPTO	15:21:00	2018-01-01 15:21:00
2018-01-01	14:41:57	CM0112	HP1730	01	MPTO	15:26:00	2018-01-01 15:26:00
2018-01-01	14:51:37	P50620	HK-4453	01	MPTO	15:34:00	2018-01-01 15:34:00
2018-01-01	14:52:01	CM0018	HP1540	01	MPTO	15:24:00	2018-01-01 15:24:00
2018-01-01	14:52:44	CM0160	HP1848	01	MPTO	15:29:00	2018-01-01 15:29:00
2018-01-01	14:55:08	CM0383	HP1830	01	MPTO	15:39:00	2018-01-01 15:39:00
2018-01-01	14:58:05	CM0392	HP1523	01	MPTO	15:40:00	2018-01-01 15:40:00
2018-01-01	14:58:56	CM0678	HP1724	01	MPTO	15:43:00	2018-01-01 15:43:00
2018-01-01	14:59:42	CM0195	HP1718	01	MPTO	15:38:00	2018-01-01 15:38:00
2018-01-01	15:00:14	CM0195	HP1718	01	MPTO	15:38:00	2018-01-01 15:38:00
2018-01-01	17:36:32	CM0440	HP1711	01	MPTO	18:22:00	2018-01-01 18:22:00
2018-01-01	17:41:55	P50516	HK-4454	01	MPTO	18:25:00	2018-01-01 18:25:00
2018-01-01	17:50:19	CM0611	HP1376	01	MPTO	18:33:00	2018-01-01 18:33:00
2018-01-01	17:50:35	CM0534	HP1531	01	MPTO	18:35:00	2018-01-01 18:35:00
2018-01-01	17:52:20	CM0372	HP1837	01	MPTO	18:37:00	2018-01-01 18:37:00
2018-01-01	17:54:20	CM0163	HP1374	01	MPTO	18:38:00	2018-01-01 18:38:00
2018-01-01	17:54:42	CM0239	HP1855	01	MPTO	18:39:00	2018-01-01 18:39:00
2018-01-01	18:07:27	CM0471	HP1825	01	MPTO	18:52:00	2018-01-01 18:52:00
2018-01-01	18:08:39	P50625	HK-4456	01	MPTO	18:53:00	2018-01-01 18:53:00
2018-01-01	18:10:18	CM0569	HP1712	01	MPTO	18:55:00	2018-01-01 18:55:00
2018-01-01	18:11:09	CM0827	HP1829	01	MPTO	18:54:00	2018-01-01 18:54:00
2018-01-01	18:16:14	CM0289	HP1566	01	MPTO	19:00:00	2018-01-01 19:00:00
2018-01-01	18:17:32	CM0317	HP1725	01	MPTO	19:01:00	2018-01-01 19:01:00
2018-01-01	18:19:38	CM0119	HP1821	01	MPTO	19:04:00	2018-01-01 19:04:00
2018-01-01	18:19:39	CM0219	HP1729	01	MPTO	19:05:00	2018-01-01 19:05:00
2018-01-01	18:19:55	CM0119	HP1821	01	MPTO	19:04:00	2018-01-01 19:04:00
2018-01-01	18:20:21	CM0222	HP1823	01	MPTO	19:05:00	2018-01-01 19:05:00
2018-01-01	18:20:57	CM0129	HP1521	01	MPTO	19:06:00	2018-01-01 19:06:00
2018-01-01	18:21:03	CM0292	HP1835	01	MPTO	19:03:00	2018-01-01 19:03:00
2018-01-01	18:24:48	CM0646	HP1375	01	MPTO	19:04:00	2018-01-01 19:04:00
2018-01-01	18:30:15	CM0357	HP1841	01	MPTO	19:08:00	2018-01-01 19:08:00
2018-01-01	18:47:36	CM0803	HP1827	01	MPTO	19:32:00	2018-01-01 19:32:00
2018-01-01	18:47:56	CM5687	HP1832	01	MPTO	19:26:00	2018-01-01 19:26:00
2018-01-01	19:05:36	CM0425	HP1536	01	MPTO	19:50:00	2018-01-01 19:50:00
2018-01-01	19:07:24	CM0157	HP1568	01	MPTO	21:42:00	2018-01-01 21:42:00
2018-01-01	19:28:39	CM0312	HP1850	01	MPTO	20:13:00	2018-01-01 20:13:00
2018-01-01	19:28:50	CM0796	HP1533	01	MPTO	20:09:00	2018-01-01 20:09:00
2018-01-01	20:10:42	CM0245	HP1715	01	MPTO	20:55:00	2018-01-01 20:55:00
2018-01-01	20:16:13	CM0137	HP1828	01	MPTO	20:58:00	2018-01-01 20:58:00
2018-01-01	20:26:56	CM0021	HP1561	01	MPTO	20:48:00	2018-01-01 20:48:00
2018-01-01	20:33:14	CM0215	HP1849	01	MPTO	21:25:00	2018-01-01 21:25:00
2018-01-01	20:40:35	CM0612	HP1537	01	MPTO	21:17:00	2018-01-01 21:17:00
2018-01-01	20:44:27	CM0118	HP1840	01	MPTO	21:28:00	2018-01-01 21:28:00
2018-01-01	20:44:36	CM0614	HP1834	01	MPTO	21:29:00	2018-01-01 21:29:00
2018-01-01	20:52:15	CM0479	HP1728	01	MPTO	21:38:00	2018-01-01 21:38:00
2018-01-01	20:54:55	CM0105	HP1557	01	MPTO	21:39:00	2018-01-01 21:39:00
2018-01-01	20:59:14	CM0411	HP1833	01	MPTO	21:44:00	2018-01-01 21:44:00
2018-01-01	20:59:43	CM0629	HP1563	01	MPTO	21:44:00	2018-01-01 21:44:00
2018-01-01	21:01:22	CM0369	HP1842	01	MPTO	21:46:00	2018-01-01 21:46:00
2018-01-01	21:02:41	CM0326	HP1720	01	MPTO	21:46:00	2018-01-01 21:46:00
2018-01-01	21:04:30	CM0700	HP1844	01	MPTO	21:42:00	2018-01-01 21:42:00
2018-01-01	21:08:22	CM0431	HP1822	01	MPTO	21:53:00	2018-01-01 21:53:00
2018-01-01	21:08:46	CM0828	HP1714	01	MPTO	21:52:00	2018-01-01 21:52:00
2018-01-01	21:09:25	CM0278	HP1836	01	MPTO	21:55:00	2018-01-01 21:55:00
2018-01-01	21:09:47	CM0272	HP1846	01	MPTO	21:54:00	2018-01-01 21:54:00
2018-01-01	21:14:17	CM0247	HP1713	01	MPTO	21:59:00	2018-01-01 21:59:00
2018-01-01	21:15:31	CM0275	HP1562	01	MPTO	22:00:00	2018-01-01 22:00:00
2018-01-01	21:16:02	P50505	HK-4453	01	MPTO	22:04:00	2018-01-01 22:04:00
2018-01-01	21:17:31	CM0107	HP1372	01	MPTO	22:02:00	2018-01-01 22:02:00
2018-01-01	21:19:27	CM0105	HP1557	01	MPTO	21:39:00	2018-01-01 21:39:00
2018-01-01	21:25:04	CM0121	HP1722	01	MPTO	22:09:00	2018-01-01 22:09:00
2018-01-01	21:25:29	CM0760	HP1522	01	MPTO	22:12:00	2018-01-01 22:12:00
2018-01-01	21:26:05	CM0760	HP1522	01	MPTO	22:12:00	2018-01-01 22:12:00
2018-01-01	21:28:09	P50539	HK-4505	01	MPTO	22:12:00	2018-01-01 22:12:00
2018-01-01	21:28:51	CM0145	HP1727	01	MPTO	22:12:00	2018-01-01 22:12:00
2018-01-01	21:29:19	CM0416	HP1371	01	MPTO	22:14:00	2018-01-01 22:14:00
2018-01-01	21:34:48	CM0250	HP1540	01	MPTO	21:53:00	2018-01-01 21:53:00
2018-01-01	21:43:51	P50554	HK-4599	01	MPTO	22:28:00	2018-01-01 22:28:00
2018-01-01	21:46:28	CM0417	HP1567	01	MPTO	22:11:00	2018-01-01 22:11:00
2018-01-01	22:00:14	CM0394	HP1560	01	MPTO	22:47:00	2018-01-01 22:47:00
2018-01-01	23:01:24	CM0359	HP1520	01	MPTO	00:04:00	2018-01-01 00:04:00
2018-01-01	23:07:26	CM0225	HP1716	01	MPTO	23:52:00	2018-01-01 23:52:00
2018-01-01	23:15:21	CM0149	HP1852	01	MPTO	00:00:00	2018-01-01 00:00:00
2018-01-01	23:34:44	CM0307	HP1569	01	MPTO	00:19:00	2018-01-01 00:19:00
2018-01-01	23:36:05	CM0271	HP1526	01	MPTO	00:20:00	2018-01-01 00:20:00
2018-01-01	23:36:07	CM0351	HP1523	01	MPTO	00:19:00	2018-01-01 00:19:00
2018-01-01	23:38:09	CM0365	HP1559	01	MPTO	00:22:00	2018-01-01 00:22:00
2018-01-01	23:41:49	P50676	HK-4454	01	MPTO	00:26:00	2018-01-01 00:26:00
2018-01-01	23:48:43	CM0115	HP1711	01	MPTO	00:32:00	2018-01-01 00:32:00
2018-01-01	23:53:01	CM0143	HP1724	01	MPTO	00:39:00	2018-01-01 00:39:00
2018-01-01	23:53:40	CM0132	HP1721	01	MPTO	00:38:00	2018-01-01 00:38:00
2018-01-01	23:54:25	CM0143	HP1724	01	MPTO	00:39:00	2018-01-01 00:39:00
2018-01-01	23:54:34	CM0143	HP1724	01	MPTO	00:39:00	2018-01-01 00:39:00
2018-01-01	23:54:41	CM0333	HP1535	01	MPTO	00:39:00	2018-01-01 00:39:00
2018-01-01	23:54:43	CM0143	HP1724	01	MPTO	00:39:00	2018-01-01 00:39:00
2018-01-01	23:55:12	CM0473	HP1831	01	MPTO	00:40:00	2018-01-01 00:40:00
2018-01-01	23:57:47	CM0229	HP1532	01	MPTO	00:42:00	2018-01-01 00:42:00
2018-01-02	 0:03:44	CM0323	HP1539	01	MPTO	00:49:00	2018-01-02 00:49:00
2018-01-02	 0:05:11	CM0622	HP1826	01	MPTO	00:49:00	2018-01-02 00:49:00
2018-01-02	 0:10:14	CM0830	HP1851	01	MPTO	00:55:00	2018-01-02 00:55:00
2018-01-02	 0:16:38	CM0135	HP1824	01	MPTO	01:02:00	2018-01-02 01:02:00
2018-01-02	 0:17:21	CM0455	HP1538	01	MPTO	01:01:00	2018-01-02 01:01:00
2018-01-02	 0:17:50	CM0437	HP1718	01	MPTO	01:02:00	2018-01-02 01:02:00
2018-01-02	 0:18:20	CM0455	HP1538	01	MPTO	01:01:00	2018-01-02 01:01:00
2018-01-02	 0:24:20	CM0266	HP1373	01	MPTO	01:09:00	2018-01-02 01:09:00
2018-01-02	 0:37:46	CM0713	HP1521	01	MPTO	01:28:00	2018-01-02 01:28:00
2018-01-02	 0:45:25	CM0305	HP1726	01	MPTO	01:30:00	2018-01-02 01:30:00
2018-01-02	 1:06:31	CM0713	HP1521	01	MPTO	01:23:00	2018-01-02 01:23:00
2018-01-02	 1:09:57	CM0684	HP1561	01	MPTO	01:54:00	2018-01-02 01:54:00
2018-01-02	 1:11:05	CM0227	HP1830	01	MPTO	01:52:00	2018-01-02 01:52:00
2018-01-02	 9:44:51	CM0220	HP1521	02	MPTO	10:30:00	2018-01-02 10:30:00
2018-01-02	 9:49:37	CM0453	HP1730	02	MPTO	10:48:00	2018-01-02 10:48:00
2018-01-02	 9:52:14	CM0758	HP1838	02	MPTO	10:36:00	2018-01-02 10:36:00
2018-01-02	 9:52:19	CM0764	HP1725	02	MPTO	10:37:00	2018-01-02 10:37:00
2018-01-02	 9:52:26	CM0209	HP1847	02	MPTO	10:37:00	2018-01-02 10:37:00
2018-01-02	 9:56:30	CM0477	HP1723	02	MPTO	10:39:00	2018-01-02 10:39:00
2018-01-02	 9:57:18	CM0204	HP1835	02	MPTO	10:47:00	2018-01-02 10:47:00
2018-01-02	10:02:13	CM0204	HP1835	02	MPTO	10:47:00	2018-01-02 10:47:00
2018-01-02	10:05:26	P50532	HK-4505	02	MPTO	10:49:00	2018-01-02 10:49:00
2018-01-02	10:09:04	CM0214	HP1712	02	MPTO	10:52:00	2018-01-02 10:52:00
2018-01-02	10:12:19	CM0276	HP1729	02	MPTO	10:56:00	2018-01-02 10:56:00
2018-01-02	10:12:30	CM0126	HP1533	02	MPTO	10:57:00	2018-01-02 10:57:00
2018-01-02	10:15:14	CM0206	HP1530	01	MPTO	11:00:00	2018-01-02 11:00:00
2018-01-02	10:16:41	CM0495	HP1829	01	MPTO	11:01:00	2018-01-02 11:01:00
2018-01-02	10:18:29	CM0872	HP1825	02	MPTO	11:03:00	2018-01-02 11:03:00
2018-01-02	10:19:15	CM0806	HP1837	02	MPTO	11:04:00	2018-01-02 11:04:00
2018-01-02	10:20:02	CM0264	HP1716	02	MPTO	11:04:00	2018-01-02 11:04:00
2018-01-02	10:21:33	CM0100	HP1821	02	MPTO	11:05:00	2018-01-02 11:05:00
2018-01-02	10:22:13	CM0820	HP1855	02	MPTO	11:07:00	2018-01-02 11:07:00
2018-01-02	10:26:34	CM0166	HP1531	01	MPTO	11:11:00	2018-01-02 11:11:00
2018-01-02	10:28:58	CM0362	HP1845	01	MPTO	11:11:00	2018-01-02 11:11:00
2018-01-02	10:31:12	CM0495	HP1372	02	MPTO	11:15:00	2018-01-02 11:15:00
2018-01-02	10:37:51	CM0421	HP1719	02	MPTO	11:22:00	2018-01-02 11:22:00
2018-01-02	10:45:24	CM0801	HP1841	01	MPTO	11:26:00	2018-01-02 11:26:00
2018-01-02	10:52:55	CM0668	HP1563	02	MPTO	11:19:00	2018-01-02 11:19:00
2018-01-02	10:57:30	CM0284	HP1843	01	MPTO	11:42:00	2018-01-02 11:42:00
2018-01-02	11:01:32	P50624	HK-4456	02	MPTO	11:46:00	2018-01-02 11:46:00
2018-01-02	11:03:29	CM0650	HP1566	02	MPTO	11:47:00	2018-01-02 11:47:00
2018-01-02	11:47:27	CM0174	HP1848	02	MPTO	12:32:00	2018-01-02 12:32:00
2018-01-02	12:03:15	CM0702	HP1827	02	MPTO	12:42:00	2018-01-02 12:42:00
2018-01-02	12:07:25	CM0295	HP1850	02	MPTO	12:52:00	2018-01-02 12:52:00
2018-01-02	12:09:37	P50630	HK-4599	02	MPTO	12:54:00	2018-01-02 12:54:00
2018-01-02	12:11:57	CM0465	HP1539	02	MPTO	12:54:00	2018-01-02 12:54:00
2018-01-02	12:12:14	CM0210	HP1711	02	MPTO	12:53:00	2018-01-02 12:53:00
2018-01-02	12:15:16	CM0173	HP1713	02	MPTO	13:00:00	2018-01-02 13:00:00
2018-01-02	12:21:41	CM0492	HP1536	02	MPTO	13:06:00	2018-01-02 13:06:00
2018-01-02	12:22:17	CM0303	HP1839	02	MPTO	13:07:00	2018-01-02 13:07:00
2018-01-02	12:22:37	CM0658	HP1535	01	MPTO	13:07:00	2018-01-02 13:07:00
2018-01-02	12:23:31	CM0300	HP1526	02	MPTO	13:08:00	2018-01-02 13:08:00
2018-01-02	12:36:02	CM0557	HP1569	02	MPTO	13:10:00	2018-01-02 13:10:00
2018-01-02	13:35:41	CM0253	HP1854	02	MPTO	14:20:00	2018-01-02 14:20:00
2018-01-02	13:53:11	CM0724	HP1846	02	MPTO	14:38:00	2018-01-02 14:38:00
2018-01-02	13:59:15	CM0710	HP1826	02	MPTO	14:44:00	2018-01-02 14:44:00
2018-01-02	13:59:52	P50644	HK-4453	02	MPTO	14:44:00	2018-01-02 14:44:00
2018-01-02	14:03:07	CM0125	HP1842	02	MPTO	14:38:00	2018-01-02 14:38:00
2018-01-02	14:05:34	CM0389	HP1568	02	MPTO	15:00:00	2018-01-02 15:00:00
2018-01-02	14:08:32	CM0193	HP1724	02	MPTO	14:50:00	2018-01-02 14:50:00
2018-01-02	14:10:44	CM0231	HP1374	02	MPTO	14:56:00	2018-01-02 14:56:00
2018-01-02	14:11:17	CM0231	HP1374	02	MPTO	14:56:00	2018-01-02 14:56:00
2018-01-02	14:12:41	CM0871	HP1520	02	MPTO	14:56:00	2018-01-02 14:56:00
2018-01-02	14:13:22	CM0364	HP1832	02	MPTO	14:58:00	2018-01-02 14:58:00
2018-01-02	14:19:20	CM0491	HP1718	02	MPTO	15:02:00	2018-01-02 15:02:00
2018-01-02	14:19:33	CM0811	HP1728	02	MPTO	15:05:00	2018-01-02 15:05:00
2018-01-02	14:21:58	CM0153	HP1722	02	MPTO	15:06:00	2018-01-02 15:06:00
2018-01-02	14:25:18	CM0686	HP1714	02	MPTO	15:09:00	2018-01-02 15:09:00
2018-01-02	14:26:24	CM0435	HP1537	02	MPTO	15:08:00	2018-01-02 15:08:00
2018-01-02	14:27:34	CM0267	HP1375	02	MPTO	15:13:00	2018-01-02 15:13:00
2018-01-02	14:28:34	CM0499	HP1371	02	MPTO	15:13:00	2018-01-02 15:13:00
2018-01-02	14:32:33	CM0436	HP1560	02	MPTO	15:10:00	2018-01-02 15:10:00
2018-01-02	14:36:28	CM0383	HP1844	02	MPTO	15:21:00	2018-01-02 15:21:00
2018-01-02	14:37:43	CM0321	HP1721	02	MPTO	15:22:00	2018-01-02 15:22:00
2018-01-02	14:38:08	CM0620	HP1557	02	MPTO	15:22:00	2018-01-02 15:22:00
2018-01-02	14:44:25	CM0290	HP1532	02	MPTO	15:29:00	2018-01-02 15:29:00
2018-01-02	14:44:35	CM0290	HP1532	02	MPTO	15:29:00	2018-01-02 15:29:00
2018-01-02	14:45:24	CM0354	HP1720	02	MPTO	15:19:00	2018-01-02 15:19:00
2018-01-02	14:51:12	CM0195	HP1717	02	MPTO	15:35:00	2018-01-02 15:35:00
2018-01-02	14:51:43	CM0723	HP1564	02	MPTO	15:34:00	2018-01-02 15:34:00
2018-01-02	14:53:42	CM0678	HP1373	02	MPTO	15:35:00	2018-01-02 15:35:00
2018-01-02	14:56:40	CM0392	HP1562	02	MPTO	15:41:00	2018-01-02 15:41:00
2018-01-02	15:08:39	CM0160	HP1821	02	MPTO	15:46:00	2018-01-02 15:46:00
2018-01-02	15:15:11	CM0018	HP1523	02	MPTO	15:40:00	2018-01-02 15:40:00
2018-01-02	15:29:42	CM4158	HP1376	01	MPTO	16:14:00	2018-01-02 16:14:00
2018-01-02	17:37:47	P50516	HK-4505	02	MPTO	18:19:00	2018-01-02 18:19:00
2018-01-02	17:43:17	CM0534	HP1530	02	MPTO	18:28:00	2018-01-02 18:28:00
2018-01-02	17:48:53	CM0440	HP1522	02	MPTO	18:32:00	2018-01-02 18:32:00
2018-01-02	17:57:20	CM0827	HP1850	02	MPTO	18:42:00	2018-01-02 18:42:00
2018-01-02	18:02:20	CM0137	HP1727	02	MPTO	18:46:00	2018-01-02 18:46:00
2018-01-02	18:04:41	CM0611	HP1531	02	MPTO	18:46:00	2018-01-02 18:46:00
2018-01-02	18:05:29	P50635	HK-4599	02	MPTO	18:49:00	2018-01-02 18:49:00
2018-01-02	18:11:24	CM0569	HP1712	02	MPTO	18:54:00	2018-01-02 18:54:00
2018-01-02	18:11:42	CM0569	HP1712	02	MPTO	18:54:00	2018-01-02 18:54:00
2018-01-02	18:12:37	CM0317	HP1723	02	MPTO	18:56:00	2018-01-02 18:56:00
2018-01-02	18:20:49	CM0407	HP1559	02	MPTO	19:05:00	2018-01-02 19:05:00
2018-01-02	18:21:30	CM0646	HP1372	02	MPTO	19:02:00	2018-01-02 19:02:00
2018-01-02	18:28:15	CM0292	HP1845	02	MPTO	19:13:00	2018-01-02 19:13:00
2018-01-02	18:28:37	CM0109	HP1855	02	MPTO	19:03:00	2018-01-02 19:03:00
2018-01-02	18:32:25	CM0222	HP1837	02	MPTO	19:16:00	2018-01-02 19:16:00
2018-01-02	18:33:45	CM0219	HP1838	02	MPTO	19:18:00	2018-01-02 19:18:00
2018-01-02	18:34:03	CM0357	HP1828	02	MPTO	19:19:00	2018-01-02 19:19:00
2018-01-02	18:34:40	CM0239	HP1534	02	MPTO	19:26:00	2018-01-02 19:26:00
2018-01-02	18:35:36	CM0312	HP1853	02	MPTO	19:20:00	2018-01-02 19:20:00
2018-01-02	18:35:36	CM0236	HP1840	02	MPTO	19:20:00	2018-01-02 19:20:00
2018-01-02	18:35:58	CM0236	HP1840	02	MPTO	19:20:00	2018-01-02 19:20:00
2018-01-02	18:43:38	CM0425	HP1719	02	MPTO	19:28:00	2018-01-02 19:28:00
2018-01-02	18:45:13	CM0687	HP1826	02	MPTO	19:20:00	2018-01-02 19:20:00
2018-01-02	18:48:25	CM0803	HP1831	02	MPTO	19:33:00	2018-01-02 19:33:00
2018-01-02	18:51:46	CM0372	HP1847	02	MPTO	19:36:00	2018-01-02 19:36:00
2018-01-02	18:58:26	CM0203	HP1841	02	MPTO	19:43:00	2018-01-02 19:43:00
2018-01-02	19:04:52	CM0471	HP1836	02	MPTO	19:49:00	2018-01-02 19:49:00
2018-01-02	19:09:42	CM0423	HP1715	02	MPTO	19:53:00	2018-01-02 19:53:00
2018-01-02	19:10:25	CM0423	HP1715	02	MPTO	19:53:00	2018-01-02 19:53:00
2018-01-02	20:23:07	CM0245	HP1852	02	MPTO	21:02:00	2018-01-02 21:02:00
2018-01-02	20:25:33	CM0114	HP1539	02	MPTO	21:09:00	2018-01-02 21:09:00
2018-01-02	20:36:35	P50614	HK-4454	02	MPTO	21:21:00	2018-01-02 21:21:00
2018-01-02	20:43:25	CM0410	HP1371	02	MPTO	21:54:00	2018-01-02 21:54:00
2018-01-02	20:44:42	CM0105	HP1564	02	MPTO	21:31:00	2018-01-02 21:31:00
2018-01-02	20:49:26	CM0700	HP1824	02	MPTO	21:34:00	2018-01-02 21:34:00
2018-01-02	20:52:08	CM0118	HP1822	02	MPTO	21:36:00	2018-01-02 21:36:00
2018-01-02	20:52:41	CM0700	HP1824	02	MPTO	21:34:00	2018-01-02 21:34:00
